Date,Rank,Comment,Press,URL,Title,Main Article
20210114,1,"7,150",머니투데이,https://news.v.daum.net/v/20210114130636230,"유승민, 박근혜 징역 20년 판결에 ""문 대통령, 사면 결단하라"""," 
         
          
           
           
            유승민 전 국민의힘 의원이 지난해 10월 30일 서울 여의도 정치문화플랫폼 하우스(How’s)에서 최장집 고려대학교 명예교수의 특강을 경청하고 있다. /사진제공=뉴시스
           
          
          유승민 전 국민의힘 의원이 14일 대법원이 박근혜 전 대통령에 대해 징역 20년을 확정하자 문재인 대통령에 사면을 결단할 것을 촉구했다.
          유 전 의원은 이날 페이스북에서 ""오늘 박근혜 전 대통령에 대한 대법원의 최종 판결이 있었다""며 ""(사면은) 오로지 국민통합, 나라의 품격과 미래만 보고 대통령이 결단할 일""이라고 밝혔다. 
          특히 ""우리 헌법이 대통령에게 사면이라는 초사법적 권한을 부여한 의미를 생각해보기 바란다""며 ""사법적 결정을 넘어서 더 큰 대의가 있을 때 대통령은 사면이라는 고도의 정치행위를 할 수 있도록 한 것""이라고 강조했다.
          그러면서 ""이낙연 더불어민주당 대표가 전직 대통령 사면을 말했을 때 나는 적극 환영했고, 이 대표의 제안이 진심이기를 바란다고 말했다""며 ""그러나 친문세력이 반대하자 이 대표는 '당사자의 반성과 국민 공감대'로 말을 바꾸었고, 청와대는 '국민의 눈높이'를 얘기했다""고 비판했다.
          이어 ""결국 사면을 하지 않겠다는 말로 해석된다""며 ""'당사자의 반성'을 요구하는 여권과 지지자들의 협량에 대통령이 휘둘리지 않기를 바란다""고 촉구했다.
          또 ""전직 대통령 사면을 두고 가식적인 정치 쇼도 하지 않기를 바란다""며 ""국민 눈높이라는 구실을 찾지도 말고, 선거에 이용할 생각도 하지 말라""고 요구했다.
          한편 국정농단 및 국가정보원 특수활동비 상납 등 혐의로 재판에 넘겨진 박근혜 전 대통령은 두 번째 대법원 판단에서 징역 20년을 확정받았다. 대법원 3부(주심 노태악 대법관)는 이날 특정범죄 가중처벌 등에 관한 법률 위반(뇌물) 등 혐의로 기소된 박 전 대통령의 상고심에서 징역 20년을 선고한 원심을 확정했다.
          
           이소현 기자 lovejournal@mt.co.kr
          
          
        "
20210114,2,"5,189",한국경제,https://news.v.daum.net/v/20210114133923132,"법원, 박원순 시장 성추행 사실 인정..""상당한 정신적 고통"""," 
         
          
           
           
            사진 = 연합뉴스
           
          
          법원이 고(故) 박원순 전 서울시장의 성추행 사실을 인정했다. 박 전 시장에 대한 성추행 사건 의혹이 불거진 지 약 7개월만이다.
           法 ""박 전 시장 성추행에 상당한 정신적 고통""
          서울중앙지법 형사합의31부(부장판사 조성필)는 14일 동료 여성 직원을 성폭행한 혐의로 재판에 넘겨진 전직 서울시장 비서실 직원 정모씨에게 징역 3년 6개월의 실형을 선고했다. 이 자리에서 재판부는 박 전 시장의 성추행으로 인한 피해자의 피해 사실을 인정해 눈길을 끌었다.
          정씨는 지난해 4·15 총선 전날인 4월 14일 동료 직원들과 술자리를 가진 후 피해자를 모텔로 데려가 성폭행한 혐의를 받고 있다. 피해자는 다음 날인 4월 15일 정씨를 경찰에 고발했고, 6개월 간 외상후스트레스장애(PTSD)를 겪기도 했다.
          그간 정모씨는 피해자가 PTSD를 겪게 된 이유가 자신 때문이 아닌 박 전 시장의 성추행 때문이라고 주장했다. 하지만 재판부는 박 전 시장의 성추행과 정모씨의 성범죄가 모두 인정된다는 취지의 판단을 내놨다.
          이날 재판부는 ""피해자는 병원에서 정신과 상담과 약물치료를 받았고 자신이 겪었던 여러 일을 진술했다""며 ""법원은 문서제출명령을 내려 병원 상담내역을 회신받았다""고 말했다.
          이어 ""내용을 살펴보면 피해자가 박 전 시장 밑에서 일하기 시작한 지 1년 반 이후부터 박 전 시장이 적절치 않은 문자와 사진을 보냈고 '남자를 알려주겠다'는 식의 이야기를 했다""며 ""이런 진술에 비춰보면 피해자가 박 전 시장의 성추행으로 인해 상당한 정신적 고통을 받은 것은 사실""이라고 말했다.
          재판부는 정씨에 대해서도 ""피고인(정씨)은 2020년 4월 술에 취해 몸을 가눌 수 없는 피해자를 대상으로 범행을 저질러 죄질이 매우 나쁘다""며 ""피해자는 박 전 시장에 대한 성추행을 진술하기 전에도 오랫동안 신뢰했던 피고인으로부터 피해를 당한 것에 대해 배신감, 수치감 등을 느끼며 심한 정신적 스트레스를 겪었다""고 말했다.
          이어 ""피해자는 평소 정씨 자녀의 생일을 챙겨주는 등 정씨와 친근하게 지냈다고 생각했다""며 ""이 사건 범행과 같은 피해를 입은 것에 대한 정신적 충격이 무엇보다 클 것""이라고 덧붙였다.
          재판부는 도망의 우려가 있다며 이날 정씨를 법정구속했다.
           ""피해자가 일상으로 돌아갈 수 있게 해달라""
          
           
           
            동료 공무원을 성폭행한 혐의로 기소된 전직 서울시장 비서실 직원이 실형을 선고받고 법정구속된 14일 오전 서초구 서울중앙지법에서 피해자 측 변호인인 김재련 변호사가 재판 후 발언하고 있다.사진=연합뉴스
           
          
          재판이 끝난 후 피해자 측 변호인인 김재련 변호사는 ""성폭력 피해자는 하나의 사건으로 PTSD를 겪기도 하지만 여러가지 다른 사건으로 증상을 호소하기도 한다""며 ""그 부분을 면밀히 판단해주시고 피고인에 대한 유죄 판결을 내려주신 재판부에 경의를 표한다""고 말했다.
          김 변호사는 무엇보다 피해자가 일상의 삶으로 돌아갈 수 있도록 실명이나 사진 유포 등 2차 가해를 멈춰달라고 강조했다.
          김 변호사는 ""현재 피해자의 얼굴이 담긴 동영상과 실명, 전신사진이 인터넷에 광범위하게 유포된 상태""라며 ""서울시 관계자는 이와 같은 피해자에 대한 정보와 영상물을 외부에 제공한 자가 누군지 확인해서 징계 조치를 취해달라""고 말했다. 
          이어 ""피해자는 평범하게 출근해서 주어진 일을 처리하고 동료들과 점심을 먹고 퇴근해 친구들과 시간을 보내는 보통의 삶을 잃었고, 피해자의 어머니는 혹시라도 딸이 나쁜 맘을 먹을까봐 하루도 편히 잠을 자지 못한다""며 ""피해자에 대한 적극적 공감과 연대를 보내주고 피해자가 다시 보통의 삶으로 돌아올 수 있도록 2차 가해를 중단해 달라""고 말했다. 
           경찰, 박 시장 성추행 의혹 등 '불기소' 송치
          한편 경찰은 지난달 29일 박 전 시장의 성추행 의혹과 서울시 관계자들의 성추행 방조·묵인 의혹에 대해 '불기소' 의견을 달아 검찰에 송치했다. 경찰은 전담수사 태스크포스(TF)를 구성해 약 5개월간 수사를 벌였으나 '증거 부족'으로 수사를 마무리했고 피해자 측은 수사 의지가 있었는지 의문이라고 주장했다.
          서울시는 박 전 시장 성추행 의혹이 불거진 지 5개월 만인 지난 12월 10일 '서울시 성차별·성희롱 근절 특별대책'을 내놓긴 했지만 '맹탕 대책'이라는 지적을 받았다. 서울시 권력의 최상단에 있는 시장의 성비위 사건은 시 내부가 아니라 외부에 맡겨 처리한다는 것을 골자로 했는데, 박 시장 사건을 되짚어 볼 때 이 같은 대책은 ‘빛 좋은 개살구’에 그칠 가능성이 크다는 지적이 나온다.
          남정민 기자 peux@hankyung.com
          ⓒ 한국경제 & , 무단전재 및 재배포 금지
          
        "
20210114,3,"4,955",조선일보,https://news.v.daum.net/v/20210114205131608,"친문들 '박원순 성추행' 판단에 ""판새X이 돌았네, 재판부 고발"""," 
         
          박원순 전 서울시장 성추행 사실을 적시한 법원 판결이 처음 나온 14일, 친문(親文) 네티즌들은 ‘사법쿠데타’ ‘판새X(판사 비하 표현)’ 등 비난을 퍼부었다. 재판부를 고발하겠다는 움직임도 나왔다.
          
           
           
            고 박원순 서울시장 영정./ 뉴시스
           
          
          적폐청산 국민참여연대 신승목 대표는 이날 오후 페이스북과 트위터를 통해 재판부를 형사 고발하겠다고 예고했다.
          신 대표는 “수사하지 않은, 전혀 다른 사건에서 박원순 시장님을 성추행범으로 단정해 판결한 서울중앙지법 형사합의31부 조성필 부장판사 등 담당 재판부 전원을 사자명예훼손으로 내일 2시 경찰청에 고발(하겠다)”고 했다.
          이 단체는 ‘문재인 대통령을 지키며 국민이 적폐청산에 앞장선다’는 취지로 활동하는 시민단체로, 지난 8월 피해자의 법률대리인인 김재련 변호사를 무고 및 무고 교사 혐의로 고발해 ‘2차 가해’ 논란을 빚기도 했다.
          이날 서울중앙지법 형사합의31부(재판장 조성필)는 준강간상해 혐의로 기소된 서울시 공무원 A씨에 대해 이날 징역 3년6개월을 선고하면서 박 전 시장의 성추행 사실에 대해서도 언급했다. 이 사건 피해자는 박 전 시장 성추행 의혹의 피해 여성이기도 하다. A씨가 “피해자가 정신적 트라우마를 겪은 건 나 때문이 아니라 박 전 시장 때문”이라는 취지로 주장하자, 재판부가 이 주장의 진위 여부를 판단하기 위해 박 전 시장 성추행 혐의를 들여다본 것이다.
          재판부는 “(피해자가) 박원순 전 시장 밑에서 근무한 지 1년 반 이후부터 박 전 시장이 야한 문자, 속옷 차림 사진을 보냈고 ‘냄새 맡고 싶다’ ‘사진을 보내 달라’는 문자를 받았다(고 진술했다)”며 “이런 진술에 비춰보면 피해자가 박 전 시장 성추행으로 인해 상당한 정신적 고통을 받은 건 사실”이라고 했다.
          
           
           
            /온라인 커뮤니티
           
          
          이날 선고가 나온 뒤, 방송인 김어준씨가 만든 온라인 매체 ‘딴지일보' 사이트엔 “박 전 시장님의 성추행을 재판부가 인정했다니, 이거 뭐죠(버럭)”이라는 제목의 글이 올라왔다.
          글쓴이는 “판사 네가 뭔데 담당 사건과 직접적으로 연관되지도 않은 박 전 시장님의 성추행을 인정하고 난리지? 이게 너희들이 얘기하는 법관의 양심이냐?”라고 했다. 이 글에는 “판사X이 쳐돌았네, 미친 판사XX들 제발 탄핵좀 하자” “개판들이 확실한 근거도 없이 박 시장님의 명예를 훼손하고 자빠졌네” 같은 댓글이 달렸다.
          친문 성향 커뮤니티인 ‘클리앙’에서도 한 회원은 재판장의 실명을 거론하며 “1+1 판결로 바겐세일했네, 새로운 분야를 개척했다”고 비꼬기도 했다. 이 글에 “노룩 패스, 노룩 취재를 이은 노룩 판결이다”라는 댓글이 달렸다. 이 외에 재판부에 대한 원색적인 욕설과 함께 “서울시장 선거 다가오니 지금까지 밝혀진 것도 없는데 유죄를 확정해버린다” “이건 선거 개입이 아니냐”는 글이 다수 올라왔다. 이 사이트는 박 전 시장 사망 직후 “이순신 장군도 관노와 잠자리를 함께 했는데
          
        "
20210114,4,"4,300",세계일보,https://news.v.daum.net/v/20210114220138625,"""독립운동가 능멸한 만화가 처벌"" 靑청원.. 윤서인 막말 파문"," 
         
          
           
           
            만화가 윤서인씨. 연합뉴스
           
          
          
            독립운동가와 그 후손들을 향해 ‘대충 살았다’고 표현한 만화가 윤서인씨를 향한 비판여론이 거센 가운데, 윤씨를 처벌해달라는 청와대 국민청원 글이 올라왔다. 
          
          
           13일 청와대 국민청원 게시판에는 ‘독립운동가를 능멸한 만화가를 처벌해 주세요’라는 청원 글이 게시됐다. 청원인은 “후손들에게 변변한 유산조차 남기지 못했을 만큼 조국을 위해 모든 걸 바치신 독립운동가 제위를 공개적으로 능멸한 상식 밖의 행위에 대해 단호히 처분해 달라”고 촉구했다.
            
          
          
           
           
            만화가 윤서인씨가 올린 페이스북 게시물. 온라인 커뮤니티
           
          
          
            앞서 윤서인은 지난 12일 페이스북에 친일파 후손의 고급주택과 독립운동가 후손의 누옥을 비교한 사진과 함께 “친일파 후손들이 저렇게 열심히 살 동안 독립운동가 후손들은 도대체 뭐한 걸까? 사실 알고 보면 100년 전에도 소위 친일파들은 열심히 살았던 사람들이고 독립운동가들은 대충 살았던 사람들 아니었을까”라고 적었다.
          
          이에 국가를 위해 헌신한 독립운동가와 경제적 어려움을 겪는 후손들을 깎아내린 발언이라는 논란이 일었다. 논란이 커지자 윤씨는 해당 게시 글을 삭제했지만, 윤씨의 게시 글은 온라인 커뮤니티와 소셜미디어(SNS)를 통해 확산하며 파문은 수그러들지 않고 있다. 일부 네티즌은 게시 글을 캡처해 광복회, 한국독립유공자협회에 제보하기도 했다.
          정치권도 분노했다. 국회 외교통일위원장인 송영길 더불어민주당 의원은 이날 페이스북에 “저런 자들과 동시대를 살아야 한다는 자괴감과 부끄러움이 함께 밀려온다”며 “우리가 제대로 친일청산을 했다면 반민족적이고 반사회적인 언동을 할 수 있겠느냐”고 비판했다.
          독립운동가 김한 선생의 외손자인 민주당 우원식 의원도 페이스북에 “친일부역자들이 떵떵거리고 살 때 독립운동가들은 일제의 감시를 피해 숨어 살아야만 했고 그 가족들은 생활고에 시달려야만 했다. 친일부역자와 독립운동가의 이런 처지는 해방 후에도 달라지지 않았다”고 짚었다. 그러면서 “그의 왜곡된 가치관은 결국 일제와 친일의 잔재를 제대로 청산하지 못했기 때문”이라며 “민족정기를 바로 세우지 않고서는 이런 토착 왜구들은 사라지지 않을 것”고 했다.
          한편 윤씨는 과거 자신이 그린 일러스트에서 “나도 일제 강점기에 태어났다면 친일파가 되지 않았을까?”라며 왜곡된 역사인식을 드러내 지탄받은 바 있다.
          정은나리 기자 jenr38@segye.com
          
        "
20210114,5,"3,242",뉴스1,https://news.v.daum.net/v/20210114172815307,환경미화원 목숨 앗아간 30대 여성 음주운전자에 징역 5년 구형," 
         
          
           
           
            6일 오전 3시 43분쯤 대구 수성구 수성구민운동장역 인근 도로에서 BMW 차량이 음식물 쓰레기 수거차를 뒤에서 들이받았다. 이 사고로 환경미화원 1명이 다리가 절단돼 병원으로 옮겨졌으나 숨졌다. (대구소방안전본부 제공) 2020.11.6/뉴스1 © News1 남승렬 기자
           
          
          (대구=뉴스1) 남승렬 기자 = 대구 도심에서 만취상태로 승용차를 몰다 새벽 업무에 나선 음식물쓰레기 수거차를 들이받아 50대 환경미화원을 숨지게 한 30대 여성에게 징역형이 구형됐다.
          14일 법조계에 따르면 대구지법 제2형사단독(부장판사 이지민) 심리로 이날 열린 결심공판에서 검찰은 특정범죄가중처벌등에 관한 법률 위반(위험운전치사상) 혐의 등으로 기소된 A씨에게 징역 5년형을 선고해 달라고 재판부에 요청했다.
          최후 진술에서 A씨는 ""고인과 유가족에게 평생 잊지 못할 아픔을 드려 죄송하다. 벌은 받아야 마땅하지만 평생 고인을 대신해 사회에 도움이 되는 사람이 되겠다""며 선처를 호소한 것으로 전해졌다.
          A씨는 지난해 11월6일 오전 3시43분쯤 음주상태에서 외제차를 몰다 대구 수성구 수성구민운동장역 인근 도로에서 음식물쓰레기 수거차를 들이받았다.
          당시 쓰레기수거차의 뒤쪽 공간에서는 환경미화원 1명이 서서 작업 중이었고 운전자가 탑승하고 있었다. 이 사고로 쓰레기수거차 뒤쪽에 타고 있던 수성구청 소속 환경미화원 1명이 크게 다쳐 병원으로 옮겨졌으나 숨졌다.
          운전 당시 A씨의 혈중알코올농도는 면허취소 수준(0.08% 이상)으로 나타났다. 
          A씨의 선고 공판은 오는 2월16일 대구지법에서 열릴 예정이다.
          pdnamsy@news1.kr 
          
        "
20210114,6,"2,897",연합뉴스,https://news.v.daum.net/v/20210114161023696,"靑 ""다시는 이런 일 없어야..사면 언급 부적절""(종합)"," 
         
          
           
           
            문재인 대통령 [연합뉴스 자료사진]
           
          
          (서울=연합뉴스) 김범현 임형섭 기자 = 청와대는 14일 국정농단 사건 등과 관련해 박근혜 전 대통령의 징역 20년형이 확정된 것에 대해 ""전직 대통령이 복역하게 된 불행한 사건을 역사적 교훈으로 삼아 다시는 이와 같은 일이 일어나지 않아야 할 것""이라는 입장을 밝혔다.
          강민석 청와대 대변인은 이날 오후 브리핑을 통해 ""국민의 촛불혁명, 국회의 탄핵에 이어 법원의 사법적 판단으로 국정농단 사건이 마무리된 것""이라며 이같이 말했다. 
          강 대변인은 ""'대한민국은 민주공화국'이라는 헌법 정신이 구현된 것이며, 한국 민주주의의 성숙과 발전을 의미한다""고 덧붙였다.
          청와대가 박 전 대통령에 대한 사법부의 최종 판단에 대해 사실상 정당성을 부여한 것으로 해석된다. 
          다만 문재인 대통령과 청와대는 박 전 대통령 사면과 관련해서는 향후 고도의 정치적 판단을 할 것으로 예상된다. 박 전 대통령의 사면 여부는 대통령의 고유 권한에 해당한다.
          박 전 대통령의 형 확정 직후 사면 여부에 대해 입장을 밝힐 것이라는 관측에도 청와대는 신중한 태도를 유지했다. 
          청와대 핵심관계자는 기자들과 만나 ""대법원 선고가 나오자마자 사면에 대해 언급하는 것은 적절치 않다""며 ""대통령으로부터 (사면과 관련해) 별도의 언급을 듣지 못했다""고 말했다. 
          더불어민주당 이낙연 대표가 연초 이명박·박근혜 전 대통령 사면론을 꺼내든 상황에서 청와대가 이 같은 입장을 유지한 것은 정치 논쟁에 섣불리 휩싸이지 않겠다는 뜻으로 해석된다. 
          문 대통령은 조만간 있을 신년 기자회견에서 전직 대통령 사면에 대한 질문에 대한 답변으로 입장을 밝힐 것으로 예상된다.
          
           
           
            브리핑하는 강민석 대변인 (서울=연합뉴스) 최재구 기자 = 강민석 청와대 대변인이 14일 청와대 춘추관에서 박근혜 전 대통령 형 확정과 관련해 브리핑하고 있다. jjaeck9@yna.co.kr
           
          
          kbeomh@yna.co.kr
          hysup@yna.co.kr
          
           
            
             
            
           
          
          
           
          
          
        "
20210114,7,"2,881",동아일보,https://news.v.daum.net/v/20210114030203352,"KBS, 수신료 최대 60% 인상 추진..日 NHK는 10% 또 인하"," 
         
          
           
          
          
           KBS가 반대 여론에도 불구하고 수신료 인상을 강행하기로 한 것으로 확인됐다. 반면 일본 공영 NHK 방송은 국민 부담을 덜기 위해 수신료를 대폭 낮추기로 했다.
          
          13일 KBS 관계자 등에 따르면 KBS는 27일로 예정된 정기이사회 의결 안건으로 수신료 인상안을 상정하기로 했다. 현재 2500원인 수신료를 3800∼4000원으로 올리는 안이다. 수신료 인상은 KBS 이사회에서 인상안을 의결한 뒤 방송통신위원회 의결과 국회의 방송법 개정을 거쳐야 해 그 과정에서 논란이 예상된다.
          KBS가 수신료 인상을 추진하는 것은 문재인 정부 들어 이번이 처음이다. 과거 KBS는 정권이 바뀔 때마다 수신료를 올리려 했지만 국회에서 반대 여론에 부닥쳐 매번 무산됐다. KBS는 공공성을 위해 전체 예산의 46%인 수신료 비중을 늘려야 한다고 주장하지만 여론은 싸늘하다. 공영방송으로서의 공정성이 담보되지 않은 상황에서 자체적인 경영 개선 노력도 없이 수신료만 더 받으려 하는 것은 부적절하다는 지적이 많다. 국회 과학기술정보방송통신위원장인 더불어민주당 이원욱 의원은 7일 자신의 페이스북에 “코로나 위기로 고통스러운 상황에서 KBS 수신료 인상 건은 국민의 방송임을 망각하는 얘기”라고 지적했다.
          이와 달리 일본 NHK 방송은 이날 2023년 수신료 인하안을 담은 2021∼2023년 중기경영계획을 발표했다고 아사히신문이 보도했다. 연 수신료 수입이 현재 7000억 엔(약 7조7000억 원) 정도인데, 약 10%를 인하하겠다는 것이 골자다. NHK는 현재 수신료 체계를 구축한 1968년 이후 지금까지 세 차례 수신료를 인하했다. 2012년 약 7%, 지난해 10월 약 2.5%를 낮췄다. 세 번째인 이번 인하폭이 가장 크다.
          이번 인하는 NHK 상급기관인 총무성의 압박에 따른 조치로 풀이된다. 2015년 약 800억 엔이었던 NHK의 사내 유보금이 2019년 1280억 엔으로 늘어나자 다케다 료타(武田良太) 총무상은 지난해 말부터 “코로나19에 따른 가계 부담을 줄이기 위해 뭔가 해야 한다”며 NHK를 압박했다. 현재 NHK 수신료는 지상파 월 1225엔, 위성방송 2170엔(자동이체 기준)이다.
          정성택 기자 neone@donga.com / 도쿄=박형준 특파원
          
        "
20210114,8,"2,876",뉴시스,https://news.v.daum.net/v/20210114170644609,"임종석 ""감사원장 도를 넘어..전광훈, 윤석열과 같은 냄새"""," 
         
          
           
           
            [광주=뉴시스] 류형근 기자 = 18일 오후 광주 남구 남구청사 7층 회의실에서 열린 남구-남북경제문화협력재단 협약식에서 임종석 협력재단 이사장이 인사말을 하고 있다. 2020.08.18. hgryu77@newsis.com
           
          
          [서울=뉴시스]정진형 기자 = 임종석 전 대통령 비서실장은 14일 감사원이 이른바 '탈원전 정책 수립과정' 관련 감사에 착수한 것과 관련, ""윤석열 검찰총장에 이어 이번에는 최재형 감사원장이 도를 넘어서고 있다""고 비판했다.
          문재인 정부 초대 비서실장을 지낸 임 전 실장은 이날 페이스북을 통해 ""감사원이 지난 11일부터 문재인 정부 에너지 정책 수립 과정의 적법성 여부에 대한 감사를 시작했다고 한다. 사실상 정부의 에너지 전환 정책이 적절한지 감사원이 판단해주겠다는 것""이라며 이같이 말했다.
          그는 ""정부의 기본정책 방향을 문제 삼고 바로잡아주겠다는 권력기관장들의 일탈을 어떻게 이해해야할까""라며 ""지금 최 원장은 명백히 정치를 하고 있다""고 했다.
          이어 ""권력의 눈치를 살피지말고 소신껏 일하라고 임기를 보장해주니, 임기를 방패로 과감하게 정치를 한다""며 ""전광훈, 윤석열, 그리고 이제는 최재형에게서 같은 냄새가 난다""고 거듭 비난했다.
          임 전 실장은 ""집을 잘 지키라고 했더니 아예 안방을 차지하려 든다. 주인의식을 가지고 일하라 했더니 주인행세를 한다""면서 ""차라리 전광훈처럼 광화문 태극기 집회에 참여하는 게 솔직한 태도가 아닐까""라고 했다.
          그는 별도 페이스북 글을 통해선 ""문재인 정부가 들어섰을 때, 2년마다 수립하는 제8차 전력수급기본계획을 마무리해야하는 상황이었다""면서 ""확인 결과 2015년에 수립된 7차 전력수급계획은 너무나 과다하게 수요를 추정한 상태였다""고 적극 설명에 나섰다.
          그는 ""이에 정부는 수정된 전력수요를 감안하여, 석탄화력을 줄이며, 동시에 과다 밀집된 원전을 합리적으로 조정하는 작업에 들어갔다""며 ""그 결과가 노후 석탄화력 조기폐쇄 및 신규 석탄화력 착수 중단이었다. 또한 미착공 원전계획을 중단하기로 했다. 다만 신고리 5,6호기는 공약상으로는 중단하기로 했으나, 이미 공정이 상당부분 진행되었기에 공론조사에 붙였던 것""이라고 밝혔다.
          이어 ""월성1호기의 경우, 정부 출범 이전에 이미 법원 판결로 수명연장에 문제가 있는 것으로 밝혀졌고, 경주지진 이후 안전성에 대한 국민우려를 반영할 필요가 있어서, 전력수급에 영향이 없을 경우 가급적 조기폐쇄하기로 했던 것""이라고 부연했다.
          그러면서 ""이것의 선후를 따지는 것 자체가 현실 정책운영과는 전혀 거리가 먼 탁상공론이다. 감사가 필요하다면, 과잉추정된 7차 수급계획, 불법적이고 탈법적인 월성1호기 수명연장일 것""이라고 했다.
          감사원은 지난 11일부터 산업통상자원부를 대상으로 제2차 에너지기본계획과 제8차 전력수급기본계획 수립 과정의 위법성 여부에 대한 감사에 착수했다.]
          ☞공감언론 뉴시스 formation@newsis.com 
          
        "
20210114,9,"2,866",서울신문,https://news.v.daum.net/v/20210114180148495,"법원, 박원순 전 시장 성추행 인정..정의당 ""민주당, 보궐준비만 하면 그만인가"""," 
         
          [서울신문]
          
           
           
            조혜민 정의당 대변인 - 뉴스1
           
          
          피해자가 고 박원순 전 서울시장으로부터 성추행을 당한 사실을 재판부가 일부 인정한 것과 관련해 정의당이 더불어민주당을 겨냥해 “보궐준비만 하면 그만인가”라고 비판했다.
          14일 정의당 조혜민 대변인은 브리핑에서 “재판부는 고 박원순 전 서울시장으로부터 피해자가 성추행 당한 사실을 인정했다”며 “‘피해자가 고 박원순 전 서울시장의 성추행으로 상당한 정신적 고통을 입은 점은 틀림없는 사실’이라며 추행을 인정한 것”이라고 말했다. 그러면서 “법원 판단이 나온 것은 이번이 처음”이라며 “조만간 발표될 국가인권위원회 직권조사 결과 역시 피해자를 향한 응답이길 기대한다”고 밝혔다.
          이날, 서울중앙지법 형사합의31부는 서울시 전 직원을 준강간치상 혐의 선고 공판에서 징역 3년6개월을 선고하고 법정구속했다. 재판부는 “여러차례의 피해자 진술에 비춰보면 피해자가 박 전 시장의 성추행으로 상당한 정신적 고통을 입은 것은 틀림없는 사실”이라며 피해자가 박 전 서울시장으로부터 성추행을 당한 사실을 일부 인정했다.
          이에 대해 조 대변인은 또한 “전 서울시장의 측근을 중심으로 사실 관계를 왜곡하고 부정하는 등 2차 가해가 만연했다”며 “이런 상황에서 재판부가 성추행 사실에 대해 언급하고 인정한 것”이라며 판결을 반겼다.
          이어 조 대변인은 “5개월 간 조사했음에도 규명된 사실관계에 대해 일체 언급 없이 수사 종결한 경찰, 떳떳합니까. 14일, 오늘 임기만료로 면직 처리된 임순영 서울시 젠더특보, 자동면직되면 그만입니까”라고 비판했다. 또 “질문과 유출은 다르다며 책임회피하기에 바빴던 남인순 더불어민주당 의원님, 부끄럽지 않습니까. 더불어민주당, 보궐준비만 하면 그만입니까”라며 민주당을 겨냥했다.
          조 대변인은 “책임져야 할 사람은 마땅히 그 책임을 져야한다. 더 이상의 2차 가해는 없어야 한다. 용기 낸 피해자의 고발을 더 이상 무너뜨리지 말길 바란다”고 덧붙였다.
          신형철 기자 hsdori@seoul.co.kr
          
        "
20210114,10,"2,735",헤럴드경제,https://news.v.daum.net/v/20210114095410053,"송영길, 윤서인 망언에 ""이런 자들과 동시대 살아야 하나 자괴감"""," 
         
          
           
           
            송영길 국회 외교통일위원장. [연합]
           
          
          [헤럴드경제=유오상 기자] 국회 외교통일위원장인 송영길 더불어민주당 의원이 ‘친일파는 열심히 살았고, 독립운동가들은 대충 살았다’는 발언으로 물의를 빚은 만화가 윤서인 씨에 대해 “저런 자들과 동시대를 살아야한다는 자괴감과 부끄러움이 함께 밀려온다”며 강하게 비판했다.
          송 위원장은 14일 자신의 SNS를 통해 “우리가 제대로 된 친일청산을 했다면 어찌 저런 반민족적이고 반사회적인 언동을 버젓이 해댈 수 있겠느냐”며 이같이 말했다.
          앞서 윤 씨는 “친일파 후손들이 저렇게 열심히 사는 동안 독립운동가 후손들은 도대체 뭐한 걸까 100년 전에도 소위 친일파들은 열심히 살았던 사람들이고 독립운동가들은 대충 살았던 사람들 아니었을까”라고 말하는 등 독립운동가를 폄하했다.
          송 위원장은 “친일을 하면 3대가 떵떵거리고 독립운동을 하면 3대가 망한다는 우리 사회의 슬픈 자화상을 저렇듯 당연한 것처럼 받아들인다. 저 자의 망언에 독립운동가 후손분들의 마음은 또 얼마나 찟길까”라며 “나라와 민족을 팔고 배신한 자들을 단죄하지 못한 채 그 후손에게 부와 명예가 이어지는데 도대체 그 어느 누가 나라를 위해 또다시 희생을 할 수 있겠느냐”고 했다.
          이어 “부끄러운 과거를 어떻게 청산해야 하는지는 독일이 본보기”라며 “70년이 훌쩍 지난 지금까지도 독일의 반성과 사죄는 지속되고 있다. 반성도 사죄도 없는 일본의 처신을 보면서 우리가 해야 할 바를 다시 되짚어 봐야 할 것”이라고 지적했다.
          또 “친일청산과 친일파의 재산을 환수하는 것! 이 나라에 민족정기와 정의를 세우는 일”이라며 “다시 새해를 맞이했지만 친일청산은 여전히 미완의 과제이자 더는 미룰 수 없는 국가적 과업”이라고 했다.
          한편, 공시지가 기준으로 520억원의 친일재산을 밝혀내 국가귀속을 신청한 광복회에 대해 송 위원장은 “의미있는 일을 해냈다”며 “김원웅 광복회장님의 말씀처럼 광복회가 새해 우리 국민들에게 큰 선물을 주셨다. 완전한 친일잔재 청산의 길에 늘 함께 하겠다”고 덧붙였다.
          osyoo@heraldcorp.com
          
        "
